system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo,longitude,latitude
2219,61.368162530000006,0.0833648102292917,0.0997868304882756,-0.1484207943351912,21824.0,0.0,9850.5,10517.5,12146.5,13408.0,16380.5,19360.0,16992.5,160.0,6353.5,54276.5,14055.0,1470.0,9486.0,417.0,401.5,12312.0,3072.0,"{""type"":""Point"",""coordinates"":[81.6487328673034,21.13080459221658]}",81.6487328673034,21.13080459221658
627,60.89989379000002,0.0695827516674422,0.114654179209871,-0.1507942598419154,21824.0,0.0,9245.5,9781.0,11066.0,11911.0,14996.0,17239.0,15188.0,224.0,6355.0,54139.5,14086.0,1470.0,9653.0,134.0,250.0,12406.0,3070.5,"{""type"":""Point"",""coordinates"":[81.63410029539247,21.12773112384728]}",81.63410029539247,21.12773112384728
1528,60.46409624,0.0671450839681185,0.1078395417474371,-0.1502865017770363,21824.0,0.0,9430.0,10134.5,11715.0,12771.5,15859.0,18142.0,15905.0,192.0,6353.0,54012.0,14081.5,1470.5,9652.0,81.0,236.0,12355.5,3072.5,"{""type"":""Point"",""coordinates"":[81.63716206551805,21.118804914952836]}",81.63716206551805,21.118804914952836
567,60.412825940000005,0.0818901847136446,0.0985759014240985,-0.1526315789473684,21824.0,0.0,9707.0,10291.0,11994.5,13387.5,16315.5,19226.0,17051.5,160.0,6352.5,53997.0,14114.0,1471.0,9667.0,106.0,241.0,12363.0,3074.0,"{""type"":""Point"",""coordinates"":[81.6216390188332,21.11843213755277]}",81.6216390188332,21.11843213755277
1855,60.16843750999999,0.0735125530207497,0.0965553501467071,-0.1467745082388832,21824.0,0.0,9646.5,10340.0,12026.0,13317.0,16163.5,18728.5,16424.0,160.0,6354.5,53925.5,14124.0,1470.5,9647.0,143.0,252.0,12319.5,3072.0,"{""type"":""Point"",""coordinates"":[81.61618644651011,21.128125788946125]}",81.61618644651011,21.128125788946125
841,60.16501949000002,0.0553538461538461,0.1152847152847152,-0.1510788669553643,21824.0,0.0,9159.0,9834.0,11321.0,12177.0,15350.5,17149.5,14909.5,224.0,6355.5,53924.5,14077.0,1469.5,9658.0,147.0,253.0,12328.5,3070.5,"{""type"":""Point"",""coordinates"":[81.63848467610391,21.12701128658562]}",81.63848467610391,21.12701128658562
350,60.04709780000002,0.0866496765340129,0.102796469752815,-0.1535237421522681,21824.0,0.0,9633.5,10273.5,11966.0,13266.5,16306.5,19400.5,16898.0,160.0,6353.5,53890.0,14052.0,1470.0,9671.5,59.0,231.0,12325.5,3072.0,"{""type"":""Point"",""coordinates"":[81.65014190848464,21.130397699561787]}",81.65014190848464,21.130397699561787
956,59.94455720000002,0.0724661202629229,0.0883641211197867,-0.1297368889240318,21824.0,0.0,9038.0,9618.5,11006.0,11967.5,14287.5,16520.0,14797.5,224.0,6358.0,53860.0,13997.0,1468.0,9699.0,72.0,233.0,12339.0,3066.5,"{""type"":""Point"",""coordinates"":[81.67812353972289,21.144966199351977]}",81.67812353972289,21.144966199351977
60,59.93430314,0.0764336637600477,0.0955341048836778,-0.1454135550232492,21824.0,0.0,9856.0,10467.5,12130.0,13422.5,16258.0,18949.0,17101.5,160.0,6353.5,53857.0,14104.0,1470.5,9644.0,109.0,242.0,12290.5,3072.5,"{""type"":""Point"",""coordinates"":[81.62621028117688,21.120302717922243]}",81.62621028117688,21.120302717922243
553,59.92234007000002,0.090665398417571,0.0945045795170691,-0.1435821220139921,21824.0,0.0,9565.5,10211.5,11813.0,13050.0,15774.0,18919.5,16672.5,160.0,6354.5,53853.5,14054.0,1470.0,9680.5,102.0,240.0,12320.5,3071.5,"{""type"":""Point"",""coordinates"":[81.64924987070792,21.13097816365515]}",81.64924987070792,21.13097816365515
