system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo
0,49.324769059999994,0.044834241983000914,0.10728586009264347,-0.12949985984863652,21824.0,0.0,9129.0,9589.5,10869.5,11370.5,14103.5,15427.5,13632.5,224.0,6182.0,50753.0,522.0,1518.5,9689.5,92.0,255.0,10817.5,3193.5,"{""type"":""Point"",""coordinates"":[81.55977604105284,21.269196751530252]}"
1,56.79485177000004,0.04598436500382293,0.10895470952061379,-0.1500047023417662,21824.0,0.0,8906.5,9691.0,11297.5,12281.5,15285.0,16758.5,14503.0,224.0,6360.5,52938.5,13969.0,1466.0,9675.0,103.0,237.0,11968.0,3062.5,"{""type"":""Point"",""coordinates"":[81.69618453617969,21.134941687345407]}"
2,50.91927539000005,0.10254454312646434,0.11475076985550405,-0.15892979647839012,21824.0,0.0,9655.0,10283.5,11953.5,13080.0,16471.0,20235.0,17653.0,224.0,6199.5,51219.5,5430.0,1508.5,9641.0,267.0,347.0,11242.5,3171.5,"{""type"":""Point"",""coordinates"":[81.75392353985801,21.210472825941075]}"
3,46.13233838000002,-0.008944392878238124,0.09833279750149268,-0.08502722323049001,21824.0,0.0,8347.0,8804.0,10083.0,9816.0,11957.0,11745.0,10821.0,224.0,6036.0,49819.0,399.0,1556.0,9560.0,313.0,339.0,10597.0,3291.0,"{""type"":""Point"",""coordinates"":[81.67476210475844,21.35700439104129]}"
4,49.42560064999998,0.02881251595273486,0.16749693162948523,-0.18564410880563093,21824.0,0.0,9012.0,9606.0,11107.0,11531.0,16171.0,17130.5,14153.0,224.0,5891.0,50782.5,5632.0,1598.5,9665.5,120.0,306.0,10956.5,3398.0,"{""type"":""Point"",""coordinates"":[81.62239483710252,21.17955774880615]}"
5,46.33571057000006,0.03518032586806615,0.1298661854822861,-0.1585330109181505,21824.0,0.0,9310.0,9923.0,11483.5,12176.0,15810.5,16963.5,14846.5,224.0,5980.0,49878.5,453.0,1573.0,9646.0,71.0,247.5,10386.5,3333.0,"{""type"":""Point"",""coordinates"":[81.53308889213983,21.188521011583017]}"
6,47.84134838,0.016709234698587563,0.08080500591916118,-0.11776125929164845,21824.0,0.0,9667.0,10739.0,12610.5,13588.0,15977.0,16520.0,15213.0,224.0,5903.0,50319.0,5375.5,1592.0,9649.0,74.0,293.5,10792.5,3385.0,"{""type"":""Point"",""coordinates"":[81.66794781294135,21.2233594351182]}"
7,54.21082865000005,0.03276440962506995,0.1506315842029058,-0.18655179515342898,21824.0,0.0,9254.0,10116.0,11849.5,12759.0,17284.5,18455.5,15381.5,224.0,6364.5,52182.5,13957.5,1464.5,9635.5,80.0,230.0,11658.5,3059.5,"{""type"":""Point"",""coordinates"":[81.69952445805554,21.16333739403464]}"
8,45.084715250000045,0.0033017760738596356,0.16039351430132992,-0.1820796911827478,21824.0,0.0,9116.0,9708.5,11018.0,11521.5,15923.5,16029.0,13510.0,224.0,6188.0,49512.5,210.0,1519.0,9584.0,287.0,481.0,10456.5,3193.5,"{""type"":""Point"",""coordinates"":[81.59752024021799,21.354890232804618]}"
9,47.918253830000026,-0.005350667727956134,0.11424230543030778,-0.09329165664823275,21824.0,0.0,8047.5,8382.0,9427.5,9036.5,11367.5,11246.5,9988.0,224.0,6185.0,50341.5,398.0,1518.5,9620.5,234.0,330.5,10737.5,3193.5,"{""type"":""Point"",""coordinates"":[81.5835095054026,21.3171738056189]}"
10,48.54887852000002,0.00428726516643053,0.06679020620589048,-0.10281440420632171,21824.0,0.0,8916.0,9544.0,11006.0,11834.5,13528.5,13645.0,12708.0,224.0,6184.5,50526.0,547.5,1517.5,9643.5,114.0,262.5,10750.0,3191.5,"{""type"":""Point"",""coordinates"":[81.56135068878636,21.27203717983809]}"
11,43.06979246000003,0.025176297903570632,0.11329762034911264,-0.12659955009772467,21824.0,0.0,9628.0,10137.0,11842.0,12166.0,15275.0,16064.0,14915.0,224.0,6001.0,48923.0,141.0,1566.0,9628.0,105.0,362.0,10074.0,3316.0,"{""type"":""Point"",""coordinates"":[81.6173989066717,21.232029709493712]}"
12,45.91016708000001,0.0030764927982100407,0.16868852459016392,-0.16249490419894008,21824.0,0.0,8768.0,9057.0,10272.0,10142.0,14258.0,14346.0,11940.0,224.0,6000.0,49754.0,502.0,1569.0,9651.0,120.0,268.0,10578.0,3321.0,"{""type"":""Point"",""coordinates"":[81.58804792426109,21.28782164167426]}"
13,46.59377108000001,-0.019002455184475162,0.1603094362745098,-0.1604427592018078,21824.0,0.0,9113.0,9517.0,10960.0,10963.0,15149.0,14584.0,12854.0,224.0,6016.0,49954.0,472.0,1565.0,9633.0,149.0,275.0,10440.0,3312.0,"{""type"":""Point"",""coordinates"":[81.62616814042134,21.370805456129016]}"
14,49.03423736000002,0.039119079551069386,0.16122428088852492,-0.19389580775302578,21824.0,0.0,9112.0,9802.0,11489.0,12291.0,17016.0,18401.5,15237.5,224.0,6200.0,50668.0,5398.5,1508.0,9682.0,64.0,300.5,11081.5,3171.5,"{""type"":""Point"",""coordinates"":[81.76231136034916,21.212135304512838]}"
15,49.321351040000025,0.011655011655011656,0.13597887706763997,-0.15294581280788178,21824.0,0.0,8981.0,9463.0,10747.0,11126.0,14628.0,14973.0,13665.0,224.0,5979.0,50752.0,558.0,1575.0,9649.0,85.0,261.0,10732.0,3336.0,"{""type"":""Point"",""coordinates"":[81.51502265401624,21.22260423668957]}"
16,52.39756904000001,0.09862165963431786,0.1021152192605331,-0.14898347018537775,21824.0,0.0,9697.0,10307.0,11867.0,13053.0,16022.0,19528.0,16982.0,224.0,5979.0,51652.0,281.0,1573.0,9564.0,226.0,328.0,10866.0,3333.0,"{""type"":""Point"",""coordinates"":[81.5492523671743,21.16293698579844]}"
17,56.67009403999998,0.0766895141895142,0.09634468480045691,-0.14251171787813408,21824.0,0.0,9281.5,10023.5,11525.5,12657.5,15356.5,17907.5,15986.5,209.0,6358.0,52902.0,13987.0,1467.5,9816.0,38.0,225.0,12071.5,3066.5,"{""type"":""Point"",""coordinates"":[81.68389272340634,21.142711467422593]}"
18,48.10111790000002,0.04059318838758326,0.12180158336547822,-0.1586196429587752,21824.0,0.0,9136.5,9635.5,11087.5,11952.5,15268.0,16560.0,14731.5,224.0,6190.5,50395.0,712.5,1515.0,9711.0,153.0,274.0,10622.5,3185.5,"{""type"":""Point"",""coordinates"":[81.50878406667968,21.306218017163733]}"
19,48.964167950000046,0.06601736573712501,0.10084291464361135,-0.1329271464130475,21824.0,0.0,9390.5,10080.5,11669.5,12454.0,15247.5,17403.0,16112.5,224.0,6207.0,50647.5,5391.5,1505.5,9714.0,89.0,261.5,11098.0,3165.0,"{""type"":""Point"",""coordinates"":[81.76952276530275,21.228965965768907]}"
20,52.007914760000006,0.014965652600588812,0.051115910727141826,-0.06729874617872492,21824.0,0.0,8774.5,9297.0,10526.0,10873.5,12045.0,12411.0,12056.0,224.0,6191.5,51538.0,4978.0,1516.5,9695.0,168.0,268.0,11385.0,3189.0,"{""type"":""Point"",""coordinates"":[81.62768752199513,21.33224784486423]}"
21,55.289213959999984,0.07061442165489012,0.11249396491604528,-0.15650153359977692,21824.0,0.0,8921.0,9649.5,11344.0,12408.0,15553.5,17917.0,15400.0,224.0,6369.5,52498.0,13961.5,1462.5,9661.5,88.0,232.0,11799.0,3055.5,"{""type"":""Point"",""coordinates"":[81.69483272355065,21.183309663053485]}"
22,39.169831639999984,-0.01573639081441572,0.15464764536729284,-0.15784743287271094,21824.0,0.0,9074.0,9624.0,11244.0,11318.0,15459.0,14980.0,13150.0,224.0,6009.0,47782.0,130.0,1563.0,9680.0,110.0,358.0,9855.0,3309.0,"{""type"":""Point"",""coordinates"":[81.62044986522375,21.243725275051894]}"
23,48.59331278000002,0.012670831392827892,0.08639182908943119,-0.11362689514010904,21824.0,0.0,9490.0,10448.0,12233.5,12925.5,15370.0,15764.5,14323.0,224.0,5899.5,50539.0,5443.5,1595.0,9684.0,100.0,276.5,10889.0,3390.0,"{""type"":""Point"",""coordinates"":[81.60657469312986,21.224237379756243]}"
24,55.08242375000003,0.028678789505468698,0.1485654436968389,-0.20571723666894334,21824.0,0.0,9155.0,10090.0,11920.0,13413.5,18094.5,19163.0,15521.5,224.0,6357.5,52437.5,13979.5,1468.0,9712.5,83.0,231.0,11813.0,3067.0,"{""type"":""Point"",""coordinates"":[81.68777790831668,21.148511878534357]}"
25,53.839973480000026,0.04519895035612917,0.12873919787281188,-0.17823156225218081,21824.0,0.0,10111.0,10850.0,12435.0,13762.0,17829.0,19517.0,17150.0,160.0,6371.0,52074.0,9906.0,1466.0,9603.0,150.0,248.0,11605.0,3062.0,"{""type"":""Point"",""coordinates"":[81.64758412435408,21.289080119482048]}"
26,51.54648206000002,0.0070448646644419724,0.042068398979635956,-0.054284589475526,21824.0,0.0,8469.0,9226.0,10810.0,11078.0,12051.0,12222.0,10992.0,224.0,6371.0,51403.0,10602.0,1463.0,9647.0,76.0,227.0,11388.0,3056.0,"{""type"":""Point"",""coordinates"":[81.743397380844,21.221942749948493]}"
27,50.14851188,0.03180878785155899,0.1506629883420842,-0.17223622418451162,21824.0,0.0,9204.5,9904.0,11413.0,11930.0,16162.5,17224.5,14473.0,224.0,6207.5,50994.0,4935.0,1509.5,9662.0,45.0,243.0,11177.5,3173.0,"{""type"":""Point"",""coordinates"":[81.7270177316661,21.31983587228669]}"
28,44.10203450000006,0.009883505653820958,0.19522761655893275,-0.1994755184431179,21824.0,0.0,9303.0,9993.0,11600.0,11703.0,17381.0,17728.0,14410.0,224.0,5987.0,49225.0,92.0,1573.0,9686.0,100.0,388.0,10194.0,3330.0,"{""type"":""Point"",""coordinates"":[81.60352533135247,21.211424516600932]}"
29,47.882364619999976,0.012490376910870555,0.1131103122177555,-0.13499945826862653,21824.0,0.0,9459.5,10243.0,11975.5,12520.0,15713.5,16111.0,14747.0,224.0,5901.5,50331.0,5414.0,1593.5,9661.0,94.0,307.5,10801.5,3387.5,"{""type"":""Point"",""coordinates"":[81.62474657849702,21.21633222974473]}"
30,42.104201810000006,-0.040289794641926405,0.016967288291042496,-0.003670924268329478,21952.0,0.0,8154.5,8747.0,9906.5,9646.5,9979.5,9206.5,8727.0,224.0,6200.0,48640.5,4967.0,1512.0,9763.5,53.0,241.0,10434.0,3178.5,"{""type"":""Point"",""coordinates"":[81.63471401249488,21.321037353659055]}"
31,46.742454950000024,0.024218144649422162,0.08907575395146006,-0.10872171437134721,21824.0,0.0,9418.0,10197.0,11895.0,12376.5,14797.0,15531.5,14436.0,224.0,5913.0,49997.5,5391.0,1588.0,9693.0,56.0,294.0,10709.5,3374.0,"{""type"":""Point"",""coordinates"":[81.63982058366474,21.22183514007991]}"
32,48.63603803000001,0.014402466241710956,0.09156219436294123,-0.11406740594203162,21824.0,0.0,9575.0,10484.5,12203.5,12771.5,15346.0,15794.5,15283.0,224.0,6200.0,50551.5,4954.5,1512.5,9661.0,68.0,244.0,11018.5,3180.0,"{""type"":""Point"",""coordinates"":[81.67958174502482,21.322206302587553]}"
33,51.75498128000004,0.05838778729157278,0.15142330675575608,-0.17907842065353483,21824.0,0.0,9414.5,10082.0,11638.0,12319.0,16715.5,18788.5,15705.5,177.0,5889.0,51464.0,5898.0,1599.0,9701.0,74.0,317.0,11215.5,3399.5,"{""type"":""Point"",""coordinates"":[81.57354978624073,21.13065807661928]}"
34,47.070584870000005,-0.03871893752053539,0.15305319332731845,-0.16116685031607028,21824.0,0.0,8901.0,9532.5,10848.0,11030.0,15016.5,13897.0,12152.5,224.0,6193.0,50093.5,4950.0,1514.5,9655.0,99.0,394.0,10859.5,3184.5,"{""type"":""Point"",""coordinates"":[81.645867366018,21.29149315254877]}"
35,43.438938620000044,-0.033879781420765025,0.14182257091128544,-0.1563466900951144,21824.0,0.0,8857.0,9577.0,11043.0,11376.0,15136.0,14144.0,12594.0,224.0,6016.0,49031.0,135.0,1563.0,9683.0,71.0,349.0,10186.0,3308.0,"{""type"":""Point"",""coordinates"":[81.69673281856093,21.28672049002068]}"
36,40.26018002000001,-0.040421154544354354,0.19777081156391502,-0.1961875608737999,21824.0,0.0,9034.0,9338.0,11554.0,11516.0,17194.0,15858.0,12646.0,194.0,5971.0,48101.0,41.0,1577.0,9738.0,84.0,458.0,9897.0,3341.0,"{""type"":""Point"",""coordinates"":[81.57522134223748,21.13299753403238]}"
37,45.67774172000003,0.03096319349614151,0.14701349471864075,-0.1528202803279308,21824.0,0.0,9002.0,9576.0,11212.0,11346.0,15257.0,16232.0,13773.0,224.0,6023.0,49686.0,308.0,1561.0,9726.0,77.0,268.0,10490.0,3303.0,"{""type"":""Point"",""coordinates"":[81.70269550029796,21.301561762814107]}"
38,43.60983962,-0.026939285156859685,0.21583265577648014,-0.20881866617674077,21824.0,0.0,8618.0,9130.0,10766.0,10609.0,16449.0,15586.0,12633.0,224.0,6007.0,49081.0,204.0,1567.0,9677.0,43.0,262.0,10277.0,3315.0,"{""type"":""Point"",""coordinates"":[81.5640580984415,21.35243111145729]}"
39,46.246842050000055,-0.016366775114534226,0.18715706613412955,-0.18856277661309107,21824.0,0.0,8755.5,9239.0,10450.5,10481.0,15307.5,14814.5,12198.5,224.0,6190.5,49852.5,4963.0,1516.5,9700.0,70.0,265.0,10808.5,3189.5,"{""type"":""Point"",""coordinates"":[81.67690804636564,21.3053908734753]}"
40,47.75589788000002,0.024312928018182363,0.15662223482699944,-0.17478035431369726,21824.0,0.0,9131.0,9780.0,11459.0,11895.0,16313.0,17126.0,14918.0,224.0,6026.0,50294.0,339.0,1560.0,9613.0,97.0,270.0,10466.0,3300.0,"{""type"":""Point"",""coordinates"":[81.71411670335863,21.30010589776973]}"
41,43.74826943000005,-0.08612723937718077,0.285213048941691,-0.2799076888072679,21824.0,0.0,8861.5,9402.5,11077.0,10950.0,19688.5,16566.0,12971.5,224.0,5888.0,49121.5,5618.5,1600.0,9605.0,177.0,369.0,10391.5,3402.0,"{""type"":""Point"",""coordinates"":[81.60586455443652,21.17589111048258]}"
42,48.84453725000003,0.0488343199590733,0.14016890352875214,-0.17088004030444248,21824.0,0.0,9334.5,10069.5,11520.0,12268.5,16268.5,17939.0,15434.0,209.0,6198.5,50612.5,5184.0,1510.5,9701.0,53.0,351.0,11072.5,3176.5,"{""type"":""Point"",""coordinates"":[81.74319891013381,21.245985274572163]}"
43,50.603108539999994,0.07467700258397933,0.08940183290869681,-0.125481260312721,21824.0,0.0,9186.0,9775.0,11130.0,11973.0,14324.0,16636.0,14885.0,224.0,6035.0,51127.0,270.0,1558.0,9704.0,109.0,288.0,10889.0,3295.0,"{""type"":""Point"",""coordinates"":[81.74234541126138,21.331520629806146]}"
44,47.71146362000002,0.04556099006966059,0.1571192409976281,-0.17579608530528776,21824.0,0.0,9195.0,9763.0,11285.0,11727.0,16099.0,17636.0,14564.0,224.0,5981.0,50281.0,268.0,1574.0,9704.0,97.0,292.0,10521.0,3334.0,"{""type"":""Point"",""coordinates"":[81.5642579364718,21.19199970955608]}"
45,50.56209230000002,0.0925028963861476,0.14792711349671586,-0.18110636751748568,21824.0,0.0,9225.5,9840.5,11269.0,12064.5,16253.5,19567.0,15928.0,209.0,6196.5,51115.0,5522.0,1508.5,9678.0,50.0,327.0,11231.5,3172.5,"{""type"":""Point"",""coordinates"":[81.75065054084376,21.185962328137922]}"
46,45.52393082000003,-0.018599451163736153,0.1793825756089907,-0.17638312857031066,21824.0,0.0,8706.0,9177.0,10525.0,10460.0,15033.0,14484.0,12163.0,224.0,6007.0,49641.0,397.0,1567.0,9640.0,134.0,362.0,10291.0,3317.0,"{""type"":""Point"",""coordinates"":[81.59615969852105,21.340004879846283]}"
