feature_set,model,test_city,MAE,RMSE,R2,train_rows,test_rows
baseline_3_features,MeanBaseline,Raipur,2.215017318725586,2.887945634546839,-0.3669424057006836,113170,3685
baseline_3_features,XGBoost,Raipur,1.9535820484161377,2.5160619699763904,-0.03756392002105713,113170,3685
baseline_3_features,RandomForest,Raipur,1.984916768971849,2.529965787775554,-0.049062898548356326,113170,3685
baseline_3_features,ExtraTrees,Raipur,2.0313244291445285,2.592123677178044,-0.10124428937106988,113170,3685
baseline_3_features,MeanBaseline,Mumbai,2.2961716651916504,2.9045084996137667,-0.08737528324127197,110855,6000
baseline_3_features,XGBoost,Mumbai,2.4619102478027344,3.1272358334685735,-0.26053667068481445,110855,6000
baseline_3_features,RandomForest,Mumbai,2.464983622417638,3.0673858847343554,-0.21274931520106555,110855,6000
baseline_3_features,ExtraTrees,Mumbai,2.58986305653129,3.228201463457948,-0.34324573007616066,110855,6000
baseline_3_features,MeanBaseline,Jaipur,3.8652353286743164,5.053474575541519,-0.45434367656707764,109195,7660
baseline_3_features,XGBoost,Jaipur,2.7828099727630615,3.8616111547447676,0.15077269077301025,109195,7660
baseline_3_features,RandomForest,Jaipur,2.695447294500731,3.7601904818078173,0.1947948021581586,109195,7660
baseline_3_features,ExtraTrees,Jaipur,2.6944623670132004,3.7786495409110956,0.1868697712242292,109195,7660
baseline_3_features,MeanBaseline,Bengaluru,3.691549062728882,4.852031494667377,-0.8688921928405762,102475,14380
baseline_3_features,XGBoost,Bengaluru,4.8398661613464355,5.800342602312317,-1.6708180904388428,102475,14380
baseline_3_features,RandomForest,Bengaluru,4.416140957277503,5.370813081853128,-1.2899031755448074,102475,14380
baseline_3_features,ExtraTrees,Bengaluru,4.857209392426608,5.8048640482985645,-1.674983755406029,102475,14380
enhanced_7_features,MeanBaseline,Raipur,2.215017318725586,2.887945634546839,-0.3669424057006836,113170,3685
enhanced_7_features,XGBoost,Raipur,1.890856146812439,2.454701591271567,0.01242607831954956,113170,3685
enhanced_7_features,RandomForest,Raipur,1.9149660323369952,2.4485252842712493,0.017389462178123538,113170,3685
enhanced_7_features,ExtraTrees,Raipur,1.874340871459855,2.4126063307645564,0.04600706725173198,113170,3685
enhanced_7_features,MeanBaseline,Mumbai,2.2961716651916504,2.9045084996137667,-0.08737528324127197,110855,6000
enhanced_7_features,XGBoost,Mumbai,2.153480052947998,2.841809962920893,-0.04093647003173828,110855,6000
enhanced_7_features,RandomForest,Mumbai,2.384776517517048,3.1073345701971955,-0.2445439618289751,110855,6000
enhanced_7_features,ExtraTrees,Mumbai,2.3786159645356695,3.1840572056786596,-0.3067603007352451,110855,6000
enhanced_7_features,MeanBaseline,Jaipur,3.8652353286743164,5.053474575541519,-0.45434367656707764,109195,7660
enhanced_7_features,XGBoost,Jaipur,2.852642774581909,3.9271469853080196,0.12170344591140747,109195,7660
enhanced_7_features,RandomForest,Jaipur,2.7142324173761554,3.8152309595285745,0.17104959997975566,109195,7660
enhanced_7_features,ExtraTrees,Jaipur,2.660476484674088,3.7340559647703104,0.20594876845013355,109195,7660
enhanced_7_features,MeanBaseline,Bengaluru,3.691549062728882,4.852031494667377,-0.8688921928405762,102475,14380
enhanced_7_features,XGBoost,Bengaluru,3.766373634338379,4.69770373801459,-0.7518957853317261,102475,14380
enhanced_7_features,RandomForest,Bengaluru,3.8475414059680366,4.775950559151409,-0.810742469936188,102475,14380
enhanced_7_features,ExtraTrees,Bengaluru,4.011200121261654,4.931682782575813,-0.9307556357245048,102475,14380
