city,model,MAE,RMSE,R2,train_rows,test_rows,train_blocks,test_blocks
Raipur,MeanBaseline,2.3554108142852783,2.7627461423003843,-1.2077786922454834,2400,137,56,14
Raipur,XGBoost,2.9476304054260254,3.247230670382436,-2.049999952316284,2400,137,56,14
Raipur,RandomForest,2.889072320502017,3.1772796123967177,-1.9200107559121675,2400,137,56,14
Raipur,ExtraTrees,2.967310034591639,3.2434640221001017,-2.0429285078428348,2400,137,56,14
Mumbai,MeanBaseline,2.5381991863250732,3.03857794578602,-0.8450554609298706,4072,182,40,10
Mumbai,XGBoost,2.0902743339538574,2.466010493130105,-0.21522998809814453,4072,182,40,10
Mumbai,RandomForest,1.997211825587226,2.341715623156389,-0.09581433409415396,4072,182,40,10
Mumbai,ExtraTrees,1.9252591356294477,2.2656599329190406,-0.02578919241776867,4072,182,40,10
Jaipur,MeanBaseline,3.4766407012939453,3.848629962849427,-2.939753532409668,4972,289,53,14
Jaipur,XGBoost,3.530848741531372,3.864303715847525,-2.9719088077545166,4972,289,53,14
Jaipur,RandomForest,3.480189618148342,3.738525935605399,-2.717556259318471,4972,289,53,14
Jaipur,ExtraTrees,3.5756259251524347,3.85947965830728,-2.961998132114022,4972,289,53,14
Bengaluru,MeanBaseline,1.4914904832839966,1.8759147955572049,-0.14119577407836914,9180,581,58,15
Bengaluru,XGBoost,1.8653470277786255,2.4603768815181315,-0.9630764722824097,9180,581,58,15
Bengaluru,RandomForest,1.623428043108993,2.1246364254146055,-0.46387223568008684,9180,581,58,15
Bengaluru,ExtraTrees,1.6572382086576063,2.18328518297339,-0.5458055524778544,9180,581,58,15
