city,year,cells,mean_LST,median_LST,max_LST,mean_risk,high_risk_cells,high_risk_fraction
Ahmedabad,2022,1747,46.9458,46.867214,53.67078,50.02863766456783,350,0.2003434459072696
Ahmedabad,2023,1747,43.062054,42.86813,50.263016,50.02852890669719,350,0.2003434459072696
Ahmedabad,2024,1747,45.077705,44.99072,51.194427,50.02871780194619,349,0.19977103606182026
Ahmedabad,2025,1747,44.266605,44.102036,50.121166,50.028740698340016,349,0.19977103606182026
Ahmedabad,2026,1747,45.099773,44.99072,52.419785,50.02871780194619,350,0.2003434459072696
Bengaluru,2022,2876,37.04104,37.025024,44.407948,50.017343532684286,576,0.20027816411682892
Bengaluru,2023,2876,34.235466,35.60569,41.119812,50.017364394993045,576,0.20027816411682892
Bengaluru,2024,2876,41.63146,41.541084,48.04301,50.017374826147424,576,0.20027816411682892
Bengaluru,2025,2876,39.378166,39.368076,44.291733,50.01727746870654,575,0.19993045897079276
Bengaluru,2026,2876,39.22905,39.168976,46.689476,50.0174826147427,576,0.20027816411682892
Bhubaneswar,2022,515,38.331753,38.18544,43.220184,50.09693203883495,104,0.20194174757281552
Bhubaneswar,2023,515,39.233356,39.180084,45.253906,50.09693203883495,104,0.20194174757281552
Bhubaneswar,2024,515,40.09025,40.0175,48.70269,50.09677669902913,104,0.20194174757281552
Bhubaneswar,2025,515,36.924736,36.850704,42.601524,50.097184466019414,104,0.20194174757281552
Bhubaneswar,2026,515,37.884045,37.816296,44.874508,50.0971067961165,104,0.20194174757281552
Chennai,2022,2017,44.444134,44.994137,51.939556,50.02482399603372,404,0.20029747149231533
Chennai,2023,2017,43.59879,43.770485,49.418766,50.02476450173525,403,0.1998016856717898
Chennai,2024,2017,41.512516,41.647896,47.74906,50.02479920674269,404,0.20029747149231533
Chennai,2025,2017,39.147705,39.268955,45.29492,50.024605850272685,404,0.20029747149231533
Chennai,2026,2017,42.88459,43.088593,48.87017,50.024814080317306,404,0.20029747149231533
Dehradun,2022,433,38.66952,38.61953,44.90185,50.11556581986143,87,0.20092378752886836
Dehradun,2023,433,34.092762,33.97786,39.525307,50.1157505773672,88,0.20323325635103925
Dehradun,2024,433,38.238586,38.46572,43.35007,50.11556581986143,87,0.20092378752886836
Dehradun,2025,433,40.035656,40.024338,45.448734,50.115542725173206,87,0.20092378752886836
Dehradun,2026,433,38.388107,38.315327,43.572243,50.11565819861432,87,0.20092378752886836
Delhi,2022,4680,39.90282,39.76457,46.084488,50.010681623931625,938,0.20042735042735044
Delhi,2023,4680,38.951504,38.941677,46.087906,50.010696581196584,936,0.2
Delhi,2024,4680,41.29992,41.043762,49.941723,50.01071153846154,938,0.20042735042735044
Delhi,2025,4680,39.682285,39.6475,45.09497,50.01061752136752,936,0.2
Delhi,2026,4680,41.806133,41.823925,49.23932,50.01074358974359,936,0.2
Guwahati,2022,316,33.880558,33.998367,37.852184,50.15819620253164,64,0.20253164556962025
Guwahati,2023,316,31.757668,31.7476,34.948578,50.158037974683545,64,0.20253164556962025
Guwahati,2024,316,32.11788,32.045822,36.41491,50.1581329113924,64,0.20253164556962025
Guwahati,2025,316,33.182693,33.104553,37.505257,50.158386075949366,64,0.20253164556962025
Guwahati,2026,316,35.405403,35.423683,39.303135,50.1581329113924,64,0.20253164556962025
Hyderabad,2022,2877,41.15488,41.018982,48.15239,50.01740702120264,576,0.20020855057351408
Hyderabad,2023,2877,41.78561,41.7812,49.01031,50.01742787626,577,0.2005561348627042
Hyderabad,2024,2877,43.412395,43.28342,50.20662,50.01742787626,576,0.20020855057351408
Hyderabad,2025,2877,40.85402,40.76092,46.306656,50.01723670490094,576,0.20020855057351408
Hyderabad,2026,2877,39.734848,39.648354,46.26735,50.01731664928745,576,0.20020855057351408
Jaipur,2022,1532,47.22441,47.07913,53.270874,50.032617493472586,307,0.2003916449086162
Jaipur,2023,1532,43.333973,45.018063,55.928383,50.032571801566576,307,0.2003916449086162
Jaipur,2024,1532,44.542767,44.196884,52.840202,50.03253916449086,307,0.2003916449086162
Jaipur,2025,1532,42.83047,42.61776,48.48052,50.03259791122716,307,0.2003916449086162
Jaipur,2026,1532,41.286766,41.154846,48.673637,50.03272193211489,307,0.2003916449086162
Kolkata,2022,1836,38.12066,38.788723,45.277832,50.02724945533769,368,0.20043572984749455
Kolkata,2023,1836,39.042885,39.31766,45.532475,50.027124183006535,368,0.20043572984749455
Kolkata,2024,1836,44.022095,43.826885,51.799416,50.02725490196078,368,0.20043572984749455
Kolkata,2025,1836,37.350693,37.218143,44.495106,50.02721677559913,368,0.20043572984749455
Kolkata,2026,1836,36.413597,36.43627,43.633766,50.0272385620915,368,0.20043572984749455
Mumbai,2022,1200,41.423077,41.31635,51.525974,50.041599999999995,240,0.2
Mumbai,2023,1200,43.086525,43.097137,53.737434,50.04170833333333,241,0.20083333333333334
Mumbai,2024,1200,41.039272,40.998474,53.13586,50.04163333333333,241,0.20083333333333334
Mumbai,2025,1200,41.700558,41.78462,49.953686,50.041624999999996,241,0.20083333333333334
Mumbai,2026,1200,42.677303,42.663902,55.562656,50.04164166666667,241,0.20083333333333334
Nagpur,2022,941,42.228886,41.86665,48.644585,50.05307120085016,189,0.20085015940488843
Nagpur,2023,941,40.660187,40.458424,48.181442,50.05309245483528,189,0.20085015940488843
Nagpur,2024,941,40.343025,40.22258,48.28911,50.05308182784272,189,0.20085015940488843
Nagpur,2025,941,43.577156,43.150116,50.93124,50.05309245483528,189,0.20085015940488843
Nagpur,2026,941,45.494156,45.07959,55.145657,50.05314558979809,190,0.20191285866099895
OTHER,2022,492,42.543026,42.59298,56.96746,50.10170731707317,98,0.1991869918699187
OTHER,2023,492,41.40657,41.450504,54.12367,50.10160569105691,99,0.20121951219512196
OTHER,2024,492,42.2054,42.49471,57.38788,50.10158536585366,99,0.20121951219512196
OTHER,2025,492,40.5717,40.848934,53.79725,50.10162601626016,99,0.20121951219512196
OTHER,2026,492,41.27051,41.825634,54.598774,50.101544715447154,99,0.20121951219512196
Pune,2022,1664,45.379574,45.284668,52.130962,50.030060096153846,334,0.20072115384615385
Pune,2023,1664,45.68704,45.35645,54.393692,50.030054086538456,333,0.20012019230769232
Pune,2024,1664,44.83742,44.62841,51.79258,50.03003605769231,333,0.20012019230769232
Pune,2025,1664,44.536118,44.30028,51.69004,50.0300420673077,334,0.20072115384615385
Pune,2026,1664,41.817955,41.470158,50.777428,50.030060096153846,333,0.20012019230769232
Raipur,2022,737,43.345013,43.119354,48.743706,50.06780189959294,148,0.20081411126187246
Raipur,2023,737,41.55991,41.38129,45.978527,50.06785617367707,147,0.1994572591587517
Raipur,2024,737,41.292446,41.39838,47.3765,50.067896879240166,148,0.20081411126187246
Raipur,2025,737,41.88889,41.67695,46.31862,50.06792401628222,147,0.1994572591587517
Raipur,2026,737,45.18064,45.177002,51.63193,50.06788331071913,148,0.20081411126187246
